gender (m=1 f=0),NE,MW,S,W,MD,Opioid,NonOpioid,over
0,1,0,0,0,1,44,1313,1
1,0,0,0,1,1,25,34,1
0,0,0,0,1,0,82,37,1
0,1,0,0,0,0,0,12,0
1,1,0,0,0,1,155,1932,1
1,1,0,0,0,1,0,223,0
1,0,0,1,0,1,266,251,1
0,0,1,0,0,0,0,72,0
0,1,0,0,0,1,0,556,0
1,0,0,0,1,1,0,136,0
0,1,0,0,0,0,0,45,0
1,1,0,0,0,1,0,11,0
0,0,1,0,0,1,0,106,0
0,0,0,0,1,1,0,24,0
1,0,0,1,0,1,20,48,1
1,1,0,0,0,1,14,0,1
1,1,0,0,0,1,11,24,1
0,0,0,1,0,0,0,70,1
1,1,0,0,0,1,20,54,1
1,1,0,0,0,1,34,1066,1
1,0,0,1,0,1,322,6086,1
0,0,0,1,0,1,76,1345,1
1,0,0,1,0,1,399,9937,1
1,0,0,0,0,1,17,13,1
1,1,0,0,0,1,0,17,0
1,0,0,1,0,1,77,0,1
0,0,1,0,0,1,0,2844,0
1,0,0,1,0,1,161,557,1
1,0,1,0,0,1,0,28,0
1,0,1,0,0,1,0,15,0
0,0,1,0,0,0,0,89,0
0,1,0,0,0,0,151,2145,1
1,0,0,1,0,1,0,101,0
0,0,0,0,1,1,109,1863,1
1,0,1,0,0,1,0,10937,1
1,0,1,0,0,1,0,93,0
1,1,0,0,0,1,142,1451,1
1,0,0,0,1,1,14,69,1
1,0,0,1,0,1,198,358,1
1,0,1,0,0,1,0,47,1
1,0,0,1,0,1,119,7410,1
0,1,0,0,0,1,180,1092,1
1,0,0,1,0,1,0,86,0
0,0,0,0,1,1,104,873,1
1,0,0,1,0,1,32,45,1
1,0,0,1,0,1,269,286,1
1,0,0,1,0,1,0,6270,0
0,1,0,0,0,0,211,345,1
0,1,0,0,0,1,0,27,0
0,0,0,1,0,1,21,26,1
1,0,0,1,0,1,0,33,0
1,0,0,0,1,1,0,34,1
1,1,0,0,0,1,0,86,0
0,0,1,0,0,0,0,380,0
1,0,0,0,1,0,0,210,1
1,0,0,0,1,1,0,27,1
1,0,0,1,0,1,0,144,0
0,1,0,0,0,0,0,261,0
1,0,0,1,0,1,64,1031,1
1,0,0,0,1,1,0,314,0
0,0,0,0,1,1,148,2443,1
1,0,0,1,0,0,287,1972,1
1,0,0,0,1,1,0,98,0
1,0,0,1,0,1,0,17,0
0,0,0,1,0,1,0,2642,0
1,0,0,1,0,1,13,2160,1
0,0,0,1,0,0,0,38,0
0,1,0,0,0,0,12,509,1
1,0,0,0,1,1,17,1501,1
0,1,0,0,0,1,0,1918,0
0,1,0,0,0,0,0,1326,1
0,0,0,0,1,1,0,22,0
1,0,0,1,0,0,86,173,1
0,1,0,0,0,0,0,62,0
0,0,0,1,0,0,15,1056,1
0,0,0,1,0,1,0,34,0
1,0,1,0,0,0,12,979,1
0,0,0,1,0,1,0,158,1
1,0,0,1,0,1,0,11,0
0,0,0,0,1,1,0,15,0
0,0,0,0,1,1,0,46,0
1,0,0,0,1,1,0,13,0
1,0,0,0,1,1,21,30,1
1,0,0,1,0,1,73,2984,1
1,0,1,0,0,1,17,51,1
1,0,0,1,0,1,1405,28371,1
0,1,0,0,0,1,0,272,0
1,0,1,0,0,0,0,413,1
1,0,1,0,0,0,49,109,1
0,0,0,1,0,1,0,862,0
1,0,0,1,0,1,28,908,1
1,0,0,0,1,1,0,23,0
1,0,1,0,0,1,652,6567,1
1,0,0,0,1,1,0,26,0
1,0,1,0,0,1,0,94,0
1,0,0,1,0,1,0,165,1
1,0,0,0,1,1,16,66,1
1,0,0,0,1,1,227,6195,1
0,0,0,0,1,1,0,11,1
0,0,0,1,0,1,75,1237,1
1,0,0,0,1,1,52,18,1
1,0,0,0,1,1,0,4936,0
1,0,0,1,0,1,0,986,0
1,0,0,1,0,1,0,79,0
1,0,1,0,0,1,29,194,1
0,0,0,0,1,1,0,148,1
0,0,0,1,0,0,20,247,1
1,0,0,1,0,1,97,3398,1
1,0,0,1,0,1,76,2309,1
0,0,0,1,0,0,0,11,0
